Campaign,Ad group,Status,Default max. CPC,Final URL
Search-1,AG_Implant_SM,Enabled,10,https://www.dentcraft.ro/preturi#calculator
Search-1,AG_Estetica_SM,Enabled,8,https://www.dentcraft.ro/galerie
Search-1,AG_Ortodontie_SM,Enabled,8,https://www.dentcraft.ro/servicii/ortodontie
Search-1,AG_General_SM,Enabled,8,https://www.dentcraft.ro/
Search-1,AG_Brand_SM,Enabled,3,https://www.dentcraft.ro/
