Campaign	Ad Group	Default Max CPC
Search-1	AG_Implant_SM	10
Search-1	AG_Estetica_SM	8
Search-1	AG_Ortodontie_SM	8
Search-1	AG_General_SM	8
Search-1	AG_Brand_SM	3
